Neighborhood_Name,Average_Income,number_of_stations
Agassiz,121702,4
Allston,66584,4
Area 2/Mit,166302,5
Back Bay,170240,9
Beacon Hill,184161,3
Boston,75300,9
Brighton,72545,4
Brookline,153011,3
Cambridge,99458,3
Cambridgeport,74424,5
Central-Maverick Square / Paris Street,67775,4
Charlestown,127385,5
Columbus,170240,1
Columbus Park / Andrew Square,117991,1
D Street / West Broadway,105843,1
Davis Square,111298,1
Dorchester,42292,9
Downtown,184161,9
Downtown Crossing,112127,1
East Boston,67755,4
East Cambridge,77338,7
East Somerville,92765,1
Fenway/Kenmore,67392,8
Financial District,251376,1
Fort Point,182424,3
Harrison Lenox,117991,1
Jamaica Plain,100381,6
Jeffries Point,67755,2
Lower Allston,66584,1
Magoun Square,79422,1
Medical Center Area,65219,3
Mid-Cambridge,68355,6
Neighborhood Nine,81726,2
North Brookline,151367,2
North Cambridge,66908,4
North End,133075,3
Oak Square,72545,2
Powder House Square,111298,1
Prospect Hill,93109,1
Riverside,165465,2
Roxbury,47250,11
Seaport District,182424,8
Somerville,94609,1
South Boston,105843,4
South End,117991,8
Spring Hill,102203,2
Teele Square,111298,1
The Port,182424,3
Theatre District,170240,2
Tufts,86362,1
Ward Two,,1
Waterfront,182424,1
Wellington-Harrington,61929,1
West Cambridge,122921,4
West Fens,66100,2
Winter Hill,79422,1
