,Neighborhood_Name,Average_Income,number_of_stations
40,Roxbury,47250.0,11
17,Downtown,184161.0,9
5,Boston,75300.0,9
16,Dorchester,42292.0,9
3,Back Bay,170240.0,9
41,Seaport District,182424.0,8
22,Fenway/Kenmore,67392.0,8
44,South End,117991.0,8
20,East Cambridge,77338.0,7
31,Mid-Cambridge,68355.0,6
26,Jamaica Plain,100381.0,6
2,Area 2/Mit,166302.0,5
9,Cambridgeport,74424.0,5
11,Charlestown,127385.0,5
1,Allston,66584.0,4
19,East Boston,67755.0,4
43,South Boston,105843.0,4
0,Agassiz,121702.0,4
34,North Cambridge,66908.0,4
53,West Cambridge,122921.0,4
10,Central-Maverick Square / Paris Street,67775.0,4
6,Brighton,72545.0,4
47,The Port,182424.0,3
24,Fort Point,182424.0,3
8,Cambridge,99458.0,3
7,Brookline,153011.0,3
30,Medical Center Area,65219.0,3
4,Beacon Hill,184161.0,3
35,North End,133075.0,3
45,Spring Hill,102203.0,2
48,Theatre District,170240.0,2
54,West Fens,66100.0,2
39,Riverside,165465.0,2
36,Oak Square,72545.0,2
27,Jeffries Point,67755.0,2
33,North Brookline,151367.0,2
32,Neighborhood Nine,81726.0,2
12,Columbus,170240.0,1
13,Columbus Park / Andrew Square,117991.0,1
52,Wellington-Harrington,61929.0,1
51,Waterfront,182424.0,1
49,Tufts,86362.0,1
14,D Street / West Broadway,105843.0,1
15,Davis Square,111298.0,1
46,Teele Square,111298.0,1
18,Downtown Crossing,112127.0,1
21,East Somerville,92765.0,1
23,Financial District,251376.0,1
42,Somerville,94609.0,1
25,Harrison Lenox,117991.0,1
28,Lower Allston,66584.0,1
29,Magoun Square,79422.0,1
38,Prospect Hill,93109.0,1
37,Powder House Square,111298.0,1
55,Winter Hill,79422.0,1
